Obj    Time     Te   B

tok    19:15:15 10   43

       19:15:26 10   28

fon    19:19:30 10   6115

       19:19:42 10   6094

       19:19:54 10   6060

comp   19:21:10 10   157375

       19:21:23 10   158508

       19:21:35 10   159898

fon    19:40:50 10   5417

       19:41:01 10   5332

       19:41:12 10   5452

comp   19:43:39 10   156098

       19:43:50 10   156572

       19:44:19 10   156727

fon    20:05:10 10   5462

       20:05:24 10   5425

       20:05:38 10   5571

comp   20:07:08 10   157822

       20:07:19 10   157223

       20:07:31 10   156684

fon    20:32:12 10   5584

       20:32:27 10   5344

       20:32:40 10   5551

comp   20:34:57 10   155942

       20:35:11 10   154006

       20:35:11 10   154006

comp   20:35:42 10   155226

       20:35:54 10   154348

       20:36:07 10   153834

fon    20:58:24 10   5601

       20:58:38 10   5395

       20:58:51 10   5629

comp   21:00:57 10   147278

       21:01:10 10   148558

       21:01:22 10   147498

fon    21:21:39 10   5796

       21:21:50 10   5783

       21:22:02 10   5791

comp   21:23:48 10   141074

       21:24:00 10   140826

       21:24:12 10   141321

fon    21:55:39 10   6265

fon    21:56:49 10   6247

       21:57:04 10   6309

       21:57:17 10   6177

comp   21:59:21 10   127187

       21:59:34 10   127383

       21:59:46 10   126620

fon    22:10:40 10   6528

       22:10:58 10   6499

       22:11:11 10   6617

comp   22:12:52 10   121704

       22:13:05 10   119204

       22:13:18 10   119311

fon    22:24:01 10   6961

       22:24:18 10   6816

       22:24:30 10   6816

comp   22:26:30 10   115003

       22:26:43 10   114117

       22:26:55 10   112830

fon    22:28:00 10   7294

       22:28:13 10   7353

       22:28:26 10   7434

tok    22:29:31 10   45

       22:29:44 10   42
